season,team,stadium,wins
2010,Kochi Tuskers Kerala,Himachal Pradesh Cricket Association Stadium,0
2010,Kochi Tuskers Kerala,Nehru Stadium,0
2010,Kochi Tuskers Kerala,Holkar Cricket Stadium,0
2010,Kochi Tuskers Kerala,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2010,Kochi Tuskers Kerala,Subrata Roy Sahara Stadium,0
2010,Kochi Tuskers Kerala,Shaheed Veer Narayan Singh International Stadium,0
2010,Kochi Tuskers Kerala,JSCA International Stadium Complex,0
2010,Kochi Tuskers Kerala,Sheikh Zayed Stadium,0
2010,Kochi Tuskers Kerala,Sharjah Cricket Stadium,0
2010,Kochi Tuskers Kerala,Dubai International Cricket Stadium,0
2010,Kochi Tuskers Kerala,Maharashtra Cricket Association Stadium,0
2010,Kochi Tuskers Kerala,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2010,Kochi Tuskers Kerala,Saurashtra Cricket Association Stadium,0
2010,Kochi Tuskers Kerala,Green Park,0
2010,Kochi Tuskers Kerala,M.Chinnaswamy Stadium,0
2010,Pune Warriors,M Chinnaswamy Stadium,0
2010,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",0
2010,Pune Warriors,Feroz Shah Kotla,0
2010,Pune Warriors,Wankhede Stadium,0
2010,Pune Warriors,Eden Gardens,0
2010,Pune Warriors,Sawai Mansingh Stadium,0
2010,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",0
2010,Pune Warriors,"MA Chidambaram Stadium, Chepauk",0
2010,Pune Warriors,Dr DY Patil Sports Academy,0
2010,Pune Warriors,Newlands,0
2010,Pune Warriors,St George's Park,0
2010,Pune Warriors,Kingsmead,0
2010,Pune Warriors,SuperSport Park,0
2010,Pune Warriors,Buffalo Park,0
2010,Pune Warriors,New Wanderers Stadium,0
2010,Pune Warriors,De Beers Diamond Oval,0
2010,Pune Warriors,OUTsurance Oval,0
2010,Pune Warriors,Brabourne Stadium,0
2010,Pune Warriors,"Sardar Patel Stadium, Motera",0
2010,Pune Warriors,Barabati Stadium,0
2010,Pune Warriors,"Vidarbha Cricket Association Stadium, Jamtha",0
2010,Pune Warriors,Himachal Pradesh Cricket Association Stadium,0
2010,Pune Warriors,Nehru Stadium,0
2010,Pune Warriors,Holkar Cricket Stadium,0
2010,Pune Warriors,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2010,Pune Warriors,Subrata Roy Sahara Stadium,0
2010,Pune Warriors,Shaheed Veer Narayan Singh International Stadium,0
2010,Pune Warriors,JSCA International Stadium Complex,0
2010,Pune Warriors,Sheikh Zayed Stadium,0
2010,Pune Warriors,Sharjah Cricket Stadium,0
2010,Pune Warriors,Dubai International Cricket Stadium,0
2010,Pune Warriors,Maharashtra Cricket Association Stadium,0
2010,Pune Warriors,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2010,Pune Warriors,Saurashtra Cricket Association Stadium,0
2010,Pune Warriors,Green Park,0
2010,Pune Warriors,M.Chinnaswamy Stadium,0
2010,Sunrisers Hyderabad,M Chinnaswamy Stadium,0
2010,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",0
2010,Sunrisers Hyderabad,Feroz Shah Kotla,0
2010,Sunrisers Hyderabad,Wankhede Stadium,0
2010,Sunrisers Hyderabad,Eden Gardens,0
2010,Sunrisers Hyderabad,Sawai Mansingh Stadium,0
2010,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0
2010,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",0
2010,Sunrisers Hyderabad,Dr DY Patil Sports Academy,0
2010,Sunrisers Hyderabad,Newlands,0
2010,Sunrisers Hyderabad,St George's Park,0
2010,Sunrisers Hyderabad,Kingsmead,0
2010,Sunrisers Hyderabad,SuperSport Park,0
2010,Sunrisers Hyderabad,Buffalo Park,0
2010,Sunrisers Hyderabad,New Wanderers Stadium,0
2010,Sunrisers Hyderabad,De Beers Diamond Oval,0
2010,Sunrisers Hyderabad,OUTsurance Oval,0
2010,Sunrisers Hyderabad,Brabourne Stadium,0
2010,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",0
2010,Sunrisers Hyderabad,Barabati Stadium,0
2010,Sunrisers Hyderabad,"Vidarbha Cricket Association Stadium, Jamtha",0
2010,Sunrisers Hyderabad,Himachal Pradesh Cricket Association Stadium,0
2010,Sunrisers Hyderabad,Nehru Stadium,0
2010,Sunrisers Hyderabad,Holkar Cricket Stadium,0
2010,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2010,Sunrisers Hyderabad,Subrata Roy Sahara Stadium,0
2010,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,0
2010,Sunrisers Hyderabad,JSCA International Stadium Complex,0
2010,Sunrisers Hyderabad,Sheikh Zayed Stadium,0
2010,Sunrisers Hyderabad,Sharjah Cricket Stadium,0
2010,Sunrisers Hyderabad,Dubai International Cricket Stadium,0
2010,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,0
2010,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2010,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,0
2010,Sunrisers Hyderabad,Green Park,0
2010,Sunrisers Hyderabad,M.Chinnaswamy Stadium,0
2010,Gujarat Lions,M Chinnaswamy Stadium,0
2010,Gujarat Lions,"Punjab Cricket Association Stadium, Mohali",0
2010,Gujarat Lions,Feroz Shah Kotla,0
2010,Gujarat Lions,Wankhede Stadium,0
2010,Gujarat Lions,Eden Gardens,0
2010,Gujarat Lions,Sawai Mansingh Stadium,0
2010,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",0
2010,Gujarat Lions,"MA Chidambaram Stadium, Chepauk",0
2010,Gujarat Lions,Dr DY Patil Sports Academy,0
2010,Gujarat Lions,Newlands,0
2010,Gujarat Lions,St George's Park,0
2010,Gujarat Lions,Kingsmead,0
2010,Gujarat Lions,SuperSport Park,0
2010,Gujarat Lions,Buffalo Park,0
2010,Gujarat Lions,New Wanderers Stadium,0
2010,Gujarat Lions,De Beers Diamond Oval,0
2010,Gujarat Lions,OUTsurance Oval,0
2010,Gujarat Lions,Brabourne Stadium,0
2010,Gujarat Lions,"Sardar Patel Stadium, Motera",0
2010,Gujarat Lions,Barabati Stadium,0
2010,Gujarat Lions,"Vidarbha Cricket Association Stadium, Jamtha",0
2010,Gujarat Lions,Himachal Pradesh Cricket Association Stadium,0
2010,Gujarat Lions,Nehru Stadium,0
2010,Gujarat Lions,Holkar Cricket Stadium,0
2010,Gujarat Lions,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2010,Gujarat Lions,Subrata Roy Sahara Stadium,0
2010,Gujarat Lions,Shaheed Veer Narayan Singh International Stadium,0
2010,Gujarat Lions,JSCA International Stadium Complex,0
2010,Gujarat Lions,Sheikh Zayed Stadium,0
2010,Gujarat Lions,Sharjah Cricket Stadium,0
2010,Gujarat Lions,Dubai International Cricket Stadium,0
2010,Gujarat Lions,Maharashtra Cricket Association Stadium,0
2010,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2010,Gujarat Lions,Saurashtra Cricket Association Stadium,0
2010,Gujarat Lions,Green Park,0
2010,Gujarat Lions,M.Chinnaswamy Stadium,0
2010,Rising Pune Supergiants,M Chinnaswamy Stadium,0
2010,Rising Pune Supergiants,"Punjab Cricket Association Stadium, Mohali",0
2010,Rising Pune Supergiants,Feroz Shah Kotla,0
2010,Rising Pune Supergiants,Wankhede Stadium,0
2010,Rising Pune Supergiants,Eden Gardens,0
2010,Rising Pune Supergiants,Sawai Mansingh Stadium,0
2010,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",0
2010,Rising Pune Supergiants,"MA Chidambaram Stadium, Chepauk",0
2010,Rising Pune Supergiants,Dr DY Patil Sports Academy,0
2010,Rising Pune Supergiants,Newlands,0
2010,Rising Pune Supergiants,St George's Park,0
2010,Rising Pune Supergiants,Kingsmead,0
2010,Rising Pune Supergiants,SuperSport Park,0
2010,Rising Pune Supergiants,Buffalo Park,0
2010,Rising Pune Supergiants,New Wanderers Stadium,0
2010,Rising Pune Supergiants,De Beers Diamond Oval,0
2010,Rising Pune Supergiants,OUTsurance Oval,0
2010,Rising Pune Supergiants,Brabourne Stadium,0
2010,Rising Pune Supergiants,"Sardar Patel Stadium, Motera",0
2010,Rising Pune Supergiants,Barabati Stadium,0
2010,Rising Pune Supergiants,"Vidarbha Cricket Association Stadium, Jamtha",0
2010,Rising Pune Supergiants,Himachal Pradesh Cricket Association Stadium,0
2010,Rising Pune Supergiants,Nehru Stadium,0
2010,Rising Pune Supergiants,Holkar Cricket Stadium,0
2010,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2010,Rising Pune Supergiants,Subrata Roy Sahara Stadium,0
2010,Rising Pune Supergiants,Shaheed Veer Narayan Singh International Stadium,0
2010,Rising Pune Supergiants,JSCA International Stadium Complex,0
2010,Rising Pune Supergiants,Sheikh Zayed Stadium,0
2010,Rising Pune Supergiants,Sharjah Cricket Stadium,0
2010,Rising Pune Supergiants,Dubai International Cricket Stadium,0
2010,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,0
2010,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2010,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,0
2010,Rising Pune Supergiants,Green Park,0
2010,Rising Pune Supergiants,M.Chinnaswamy Stadium,0
2010,Rising Pune Supergiant,M Chinnaswamy Stadium,0
2010,Rising Pune Supergiant,"Punjab Cricket Association Stadium, Mohali",0
2010,Rising Pune Supergiant,Feroz Shah Kotla,0
2010,Rising Pune Supergiant,Wankhede Stadium,0
2010,Rising Pune Supergiant,Eden Gardens,0
2010,Rising Pune Supergiant,Sawai Mansingh Stadium,0
2010,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",0
2010,Rising Pune Supergiant,"MA Chidambaram Stadium, Chepauk",0
2010,Rising Pune Supergiant,Dr DY Patil Sports Academy,0
2010,Rising Pune Supergiant,Newlands,0
2010,Rising Pune Supergiant,St George's Park,0
2010,Rising Pune Supergiant,Kingsmead,0
2010,Rising Pune Supergiant,SuperSport Park,0
2010,Rising Pune Supergiant,Buffalo Park,0
2010,Rising Pune Supergiant,New Wanderers Stadium,0
2010,Rising Pune Supergiant,De Beers Diamond Oval,0
2010,Rising Pune Supergiant,OUTsurance Oval,0
2010,Rising Pune Supergiant,Brabourne Stadium,0
2010,Rising Pune Supergiant,"Sardar Patel Stadium, Motera",0
2010,Rising Pune Supergiant,Barabati Stadium,0
2010,Rising Pune Supergiant,"Vidarbha Cricket Association Stadium, Jamtha",0
2010,Rising Pune Supergiant,Himachal Pradesh Cricket Association Stadium,0
2010,Rising Pune Supergiant,Nehru Stadium,0
2010,Rising Pune Supergiant,Holkar Cricket Stadium,0
2010,Rising Pune Supergiant,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2010,Rising Pune Supergiant,Subrata Roy Sahara Stadium,0
2010,Rising Pune Supergiant,Shaheed Veer Narayan Singh International Stadium,0
2010,Rising Pune Supergiant,JSCA International Stadium Complex,0
2010,Rising Pune Supergiant,Sheikh Zayed Stadium,0
2010,Rising Pune Supergiant,Sharjah Cricket Stadium,0
2010,Rising Pune Supergiant,Dubai International Cricket Stadium,0
2010,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,0
2010,Rising Pune Supergiant,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2010,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,0
2010,Rising Pune Supergiant,Green Park,0
2010,Rising Pune Supergiant,M.Chinnaswamy Stadium,0
2010,Delhi Capitals,M Chinnaswamy Stadium,0
2010,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",0
2010,Delhi Capitals,Feroz Shah Kotla,0
2010,Delhi Capitals,Wankhede Stadium,0
2010,Delhi Capitals,Eden Gardens,0
2010,Delhi Capitals,Sawai Mansingh Stadium,0
2010,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",0
2010,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",0
2010,Delhi Capitals,Dr DY Patil Sports Academy,0
2010,Delhi Capitals,Newlands,0
2010,Delhi Capitals,St George's Park,0
2010,Delhi Capitals,Kingsmead,0
2010,Delhi Capitals,SuperSport Park,0
2010,Delhi Capitals,Buffalo Park,0
2010,Delhi Capitals,New Wanderers Stadium,0
2010,Delhi Capitals,De Beers Diamond Oval,0
2010,Delhi Capitals,OUTsurance Oval,0
2010,Delhi Capitals,Brabourne Stadium,0
2010,Delhi Capitals,"Sardar Patel Stadium, Motera",0
2010,Delhi Capitals,Barabati Stadium,0
2010,Delhi Capitals,"Vidarbha Cricket Association Stadium, Jamtha",0
2010,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,0
2010,Delhi Capitals,Nehru Stadium,0
2010,Delhi Capitals,Holkar Cricket Stadium,0
2010,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2010,Delhi Capitals,Subrata Roy Sahara Stadium,0
2010,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium,0
2010,Delhi Capitals,JSCA International Stadium Complex,0
2010,Delhi Capitals,Sheikh Zayed Stadium,0
2010,Delhi Capitals,Sharjah Cricket Stadium,0
2010,Delhi Capitals,Dubai International Cricket Stadium,0
2010,Delhi Capitals,Maharashtra Cricket Association Stadium,0
2010,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2010,Delhi Capitals,Saurashtra Cricket Association Stadium,0
2010,Delhi Capitals,Green Park,0
2010,Delhi Capitals,M.Chinnaswamy Stadium,0
2011,Royal Challengers Bangalore,M Chinnaswamy Stadium,5
2011,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",0
2011,Royal Challengers Bangalore,Feroz Shah Kotla,1
2011,Royal Challengers Bangalore,Wankhede Stadium,0
2011,Royal Challengers Bangalore,Eden Gardens,1
2011,Royal Challengers Bangalore,Sawai Mansingh Stadium,1
2011,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",0
2011,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",1
2011,Royal Challengers Bangalore,Dr DY Patil Sports Academy,0
2011,Royal Challengers Bangalore,Newlands,0
2011,Royal Challengers Bangalore,St George's Park,0
2011,Royal Challengers Bangalore,Kingsmead,0
2011,Royal Challengers Bangalore,SuperSport Park,0
2011,Royal Challengers Bangalore,Buffalo Park,0
2011,Royal Challengers Bangalore,New Wanderers Stadium,0
2011,Royal Challengers Bangalore,De Beers Diamond Oval,0
2011,Royal Challengers Bangalore,OUTsurance Oval,0
2011,Royal Challengers Bangalore,Brabourne Stadium,0
2011,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera",0
2011,Royal Challengers Bangalore,Barabati Stadium,0
2011,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",0
2011,Royal Challengers Bangalore,Himachal Pradesh Cricket Association Stadium,0
2011,Royal Challengers Bangalore,Nehru Stadium,1
2011,Royal Challengers Bangalore,Holkar Cricket Stadium,0
2011,Royal Challengers Bangalore,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2011,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,0
2011,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,0
2011,Royal Challengers Bangalore,JSCA International Stadium Complex,0
2011,Royal Challengers Bangalore,Sheikh Zayed Stadium,0
2011,Royal Challengers Bangalore,Sharjah Cricket Stadium,0
2011,Royal Challengers Bangalore,Dubai International Cricket Stadium,0
2011,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,0
2011,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2011,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,0
2011,Royal Challengers Bangalore,Green Park,0
2011,Royal Challengers Bangalore,M.Chinnaswamy Stadium,0
2011,Kings XI Punjab,M Chinnaswamy Stadium,0
2011,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",3
2011,Kings XI Punjab,Feroz Shah Kotla,0
2011,Kings XI Punjab,Wankhede Stadium,0
2011,Kings XI Punjab,Eden Gardens,0
2011,Kings XI Punjab,Sawai Mansingh Stadium,0
2011,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",1
2011,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",0
2011,Kings XI Punjab,Dr DY Patil Sports Academy,0
2011,Kings XI Punjab,Newlands,0
2011,Kings XI Punjab,St George's Park,0
2011,Kings XI Punjab,Kingsmead,0
2011,Kings XI Punjab,SuperSport Park,0
2011,Kings XI Punjab,Buffalo Park,0
2011,Kings XI Punjab,New Wanderers Stadium,0
2011,Kings XI Punjab,De Beers Diamond Oval,0
2011,Kings XI Punjab,OUTsurance Oval,0
2011,Kings XI Punjab,Brabourne Stadium,0
2011,Kings XI Punjab,"Sardar Patel Stadium, Motera",0
2011,Kings XI Punjab,Barabati Stadium,0
2011,Kings XI Punjab,"Vidarbha Cricket Association Stadium, Jamtha",0
2011,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,2
2011,Kings XI Punjab,Nehru Stadium,0
2011,Kings XI Punjab,Holkar Cricket Stadium,1
2011,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2011,Kings XI Punjab,Subrata Roy Sahara Stadium,0
2011,Kings XI Punjab,Shaheed Veer Narayan Singh International Stadium,0
2011,Kings XI Punjab,JSCA International Stadium Complex,0
2011,Kings XI Punjab,Sheikh Zayed Stadium,0
2011,Kings XI Punjab,Sharjah Cricket Stadium,0
2011,Kings XI Punjab,Dubai International Cricket Stadium,0
2011,Kings XI Punjab,Maharashtra Cricket Association Stadium,0
2011,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2011,Kings XI Punjab,Saurashtra Cricket Association Stadium,0
2011,Kings XI Punjab,Green Park,0
2011,Kings XI Punjab,M.Chinnaswamy Stadium,0
2011,Delhi Daredevils,M Chinnaswamy Stadium,0
2011,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",0
2011,Delhi Daredevils,Feroz Shah Kotla,1
2011,Delhi Daredevils,Wankhede Stadium,0
2011,Delhi Daredevils,Eden Gardens,0
2011,Delhi Daredevils,Sawai Mansingh Stadium,0
2011,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",1
2011,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",0
2011,Delhi Daredevils,Dr DY Patil Sports Academy,1
2011,Delhi Daredevils,Newlands,0
2011,Delhi Daredevils,St George's Park,0
2011,Delhi Daredevils,Kingsmead,0
2011,Delhi Daredevils,SuperSport Park,0
2011,Delhi Daredevils,Buffalo Park,0
2011,Delhi Daredevils,New Wanderers Stadium,0
2011,Delhi Daredevils,De Beers Diamond Oval,0
2011,Delhi Daredevils,OUTsurance Oval,0
2011,Delhi Daredevils,Brabourne Stadium,0
2011,Delhi Daredevils,"Sardar Patel Stadium, Motera",0
2011,Delhi Daredevils,Barabati Stadium,0
2011,Delhi Daredevils,"Vidarbha Cricket Association Stadium, Jamtha",0
2011,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,0
2011,Delhi Daredevils,Nehru Stadium,1
2011,Delhi Daredevils,Holkar Cricket Stadium,0
2011,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2011,Delhi Daredevils,Subrata Roy Sahara Stadium,0
2011,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,0
2011,Delhi Daredevils,JSCA International Stadium Complex,0
2011,Delhi Daredevils,Sheikh Zayed Stadium,0
2011,Delhi Daredevils,Sharjah Cricket Stadium,0
2011,Delhi Daredevils,Dubai International Cricket Stadium,0
2011,Delhi Daredevils,Maharashtra Cricket Association Stadium,0
2011,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2011,Delhi Daredevils,Saurashtra Cricket Association Stadium,0
2011,Delhi Daredevils,Green Park,0
2011,Delhi Daredevils,M.Chinnaswamy Stadium,0
2011,Mumbai Indians,M Chinnaswamy Stadium,1
2011,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",0
2011,Mumbai Indians,Feroz Shah Kotla,1
2011,Mumbai Indians,Wankhede Stadium,5
2011,Mumbai Indians,Eden Gardens,1
2011,Mumbai Indians,Sawai Mansingh Stadium,0
2011,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",1
2011,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",0
2011,Mumbai Indians,Dr DY Patil Sports Academy,1
2011,Mumbai Indians,Newlands,0
2011,Mumbai Indians,St George's Park,0
2011,Mumbai Indians,Kingsmead,0
2011,Mumbai Indians,SuperSport Park,0
2011,Mumbai Indians,Buffalo Park,0
2011,Mumbai Indians,New Wanderers Stadium,0
2011,Mumbai Indians,De Beers Diamond Oval,0
2011,Mumbai Indians,OUTsurance Oval,0
2011,Mumbai Indians,Brabourne Stadium,0
2011,Mumbai Indians,"Sardar Patel Stadium, Motera",0
2011,Mumbai Indians,Barabati Stadium,0
2011,Mumbai Indians,"Vidarbha Cricket Association Stadium, Jamtha",0
2011,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,0
2011,Mumbai Indians,Nehru Stadium,0
2011,Mumbai Indians,Holkar Cricket Stadium,0
2011,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2011,Mumbai Indians,Subrata Roy Sahara Stadium,0
2011,Mumbai Indians,Shaheed Veer Narayan Singh International Stadium,0
2011,Mumbai Indians,JSCA International Stadium Complex,0
2011,Mumbai Indians,Sheikh Zayed Stadium,0
2011,Mumbai Indians,Sharjah Cricket Stadium,0
2011,Mumbai Indians,Dubai International Cricket Stadium,0
2011,Mumbai Indians,Maharashtra Cricket Association Stadium,0
2011,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2011,Mumbai Indians,Saurashtra Cricket Association Stadium,0
2011,Mumbai Indians,Green Park,0
2011,Mumbai Indians,M.Chinnaswamy Stadium,0
2011,Kolkata Knight Riders,M Chinnaswamy Stadium,0
2011,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",0
2011,Kolkata Knight Riders,Feroz Shah Kotla,1
2011,Kolkata Knight Riders,Wankhede Stadium,0
2011,Kolkata Knight Riders,Eden Gardens,4
2011,Kolkata Knight Riders,Sawai Mansingh Stadium,1
2011,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",1
2011,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",0
2011,Kolkata Knight Riders,Dr DY Patil Sports Academy,1
2011,Kolkata Knight Riders,Newlands,0
2011,Kolkata Knight Riders,St George's Park,0
2011,Kolkata Knight Riders,Kingsmead,0
2011,Kolkata Knight Riders,SuperSport Park,0
2011,Kolkata Knight Riders,Buffalo Park,0
2011,Kolkata Knight Riders,New Wanderers Stadium,0
2011,Kolkata Knight Riders,De Beers Diamond Oval,0
2011,Kolkata Knight Riders,OUTsurance Oval,0
2011,Kolkata Knight Riders,Brabourne Stadium,0
2011,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",0
2011,Kolkata Knight Riders,Barabati Stadium,0
2011,Kolkata Knight Riders,"Vidarbha Cricket Association Stadium, Jamtha",0
2011,Kolkata Knight Riders,Himachal Pradesh Cricket Association Stadium,0
2011,Kolkata Knight Riders,Nehru Stadium,0
2011,Kolkata Knight Riders,Holkar Cricket Stadium,0
2011,Kolkata Knight Riders,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2011,Kolkata Knight Riders,Subrata Roy Sahara Stadium,0
2011,Kolkata Knight Riders,Shaheed Veer Narayan Singh International Stadium,0
2011,Kolkata Knight Riders,JSCA International Stadium Complex,0
2011,Kolkata Knight Riders,Sheikh Zayed Stadium,0
2011,Kolkata Knight Riders,Sharjah Cricket Stadium,0
2011,Kolkata Knight Riders,Dubai International Cricket Stadium,0
2011,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,0
2011,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2011,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,0
2011,Kolkata Knight Riders,Green Park,0
2011,Kolkata Knight Riders,M.Chinnaswamy Stadium,0
2011,Rajasthan Royals,M Chinnaswamy Stadium,0
2011,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",0
2011,Rajasthan Royals,Feroz Shah Kotla,0
2011,Rajasthan Royals,Wankhede Stadium,1
2011,Rajasthan Royals,Eden Gardens,0
2011,Rajasthan Royals,Sawai Mansingh Stadium,4
2011,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",1
2011,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",0
2011,Rajasthan Royals,Dr DY Patil Sports Academy,0
2011,Rajasthan Royals,Newlands,0
2011,Rajasthan Royals,St George's Park,0
2011,Rajasthan Royals,Kingsmead,0
2011,Rajasthan Royals,SuperSport Park,0
2011,Rajasthan Royals,Buffalo Park,0
2011,Rajasthan Royals,New Wanderers Stadium,0
2011,Rajasthan Royals,De Beers Diamond Oval,0
2011,Rajasthan Royals,OUTsurance Oval,0
2011,Rajasthan Royals,Brabourne Stadium,0
2011,Rajasthan Royals,"Sardar Patel Stadium, Motera",0
2011,Rajasthan Royals,Barabati Stadium,0
2011,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",0
2011,Rajasthan Royals,Himachal Pradesh Cricket Association Stadium,0
2011,Rajasthan Royals,Nehru Stadium,0
2011,Rajasthan Royals,Holkar Cricket Stadium,0
2011,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2011,Rajasthan Royals,Subrata Roy Sahara Stadium,0
2011,Rajasthan Royals,Shaheed Veer Narayan Singh International Stadium,0
2011,Rajasthan Royals,JSCA International Stadium Complex,0
2011,Rajasthan Royals,Sheikh Zayed Stadium,0
2011,Rajasthan Royals,Sharjah Cricket Stadium,0
2011,Rajasthan Royals,Dubai International Cricket Stadium,0
2011,Rajasthan Royals,Maharashtra Cricket Association Stadium,0
2011,Rajasthan Royals,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2011,Rajasthan Royals,Saurashtra Cricket Association Stadium,0
2011,Rajasthan Royals,Green Park,0
2011,Rajasthan Royals,M.Chinnaswamy Stadium,0
2011,Deccan Chargers,M Chinnaswamy Stadium,0
2011,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",0
2011,Deccan Chargers,Feroz Shah Kotla,1
2011,Deccan Chargers,Wankhede Stadium,1
2011,Deccan Chargers,Eden Gardens,0
2011,Deccan Chargers,Sawai Mansingh Stadium,0
2011,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",1
2011,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",0
2011,Deccan Chargers,Dr DY Patil Sports Academy,1
2011,Deccan Chargers,Newlands,0
2011,Deccan Chargers,St George's Park,0
2011,Deccan Chargers,Kingsmead,0
2011,Deccan Chargers,SuperSport Park,0
2011,Deccan Chargers,Buffalo Park,0
2011,Deccan Chargers,New Wanderers Stadium,0
2011,Deccan Chargers,De Beers Diamond Oval,0
2011,Deccan Chargers,OUTsurance Oval,0
2011,Deccan Chargers,Brabourne Stadium,0
2011,Deccan Chargers,"Sardar Patel Stadium, Motera",0
2011,Deccan Chargers,Barabati Stadium,0
